date,ph
04/16/2016 00:16:19,8.1796
04/16/2016 00:21:20,8.1816
04/16/2016 00:26:21,8.1825
04/16/2016 00:31:22,8.1854
04/16/2016 00:36:23,8.1874
04/16/2016 00:41:24,8.1856
04/16/2016 00:46:25,8.1849
04/16/2016 00:51:27,8.1852
04/16/2016 00:56:27,8.188
04/16/2016 01:01:28,8.1881
04/16/2016 01:06:29,8.1889
04/16/2016 01:11:30,8.1869
04/16/2016 01:16:32,8.1893
04/16/2016 01:21:32,8.19
04/16/2016 01:26:33,8.1903
04/16/2016 01:31:35,8.1886
04/16/2016 01:36:36,8.1868
04/16/2016 01:41:37,8.1829
04/16/2016 01:46:38,8.1818
04/16/2016 01:51:39,8.1802
04/16/2016 01:56:40,8.1773
04/16/2016 02:01:41,8.1756
04/16/2016 02:06:42,8.1738
04/16/2016 02:11:43,8.1701
04/16/2016 02:16:44,8.1672
04/16/2016 02:21:45,8.1657
04/16/2016 02:26:46,8.162
04/16/2016 02:31:47,8.1634
04/16/2016 02:36:48,8.159
04/16/2016 02:41:49,8.1558
04/16/2016 02:46:50,8.1512
04/16/2016 02:51:51,8.1514
04/16/2016 02:56:52,8.1496
04/16/2016 03:01:53,8.1468
04/16/2016 03:06:54,8.1426
04/16/2016 03:11:55,8.1419
04/16/2016 03:16:56,8.1362
04/16/2016 03:21:57,8.1362
04/16/2016 03:26:58,8.1326
04/16/2016 03:31:59,8.1293
04/16/2016 03:37:00,8.1246
04/16/2016 03:42:01,8.1199
04/16/2016 03:47:02,8.1165
04/16/2016 03:52:03,8.1141
04/16/2016 03:57:04,8.1125
04/16/2016 04:02:05,8.1115
04/16/2016 04:07:06,8.1042
04/16/2016 04:12:07,8.1008
04/16/2016 04:17:08,8.0958
04/16/2016 04:22:09,8.0948
04/16/2016 04:27:10,8.0887
04/16/2016 04:32:11,8.0872
04/16/2016 04:37:12,8.0823
04/16/2016 04:42:13,8.0784
04/16/2016 04:47:14,8.0756
04/16/2016 04:52:15,8.0707
04/16/2016 04:57:16,8.0659
04/16/2016 05:02:17,8.0615
04/16/2016 05:07:18,8.0565
04/16/2016 05:12:19,8.0542
04/16/2016 05:17:20,8.0483
04/16/2016 05:22:21,8.0474
04/16/2016 05:27:22,8.0398
04/16/2016 05:32:23,8.0369
04/16/2016 05:37:24,8.0345
04/16/2016 05:42:25,8.0317
04/16/2016 05:47:26,8.0267
04/16/2016 05:52:27,8.0253
04/16/2016 05:57:29,8.0207
04/16/2016 06:02:30,8.0184
04/16/2016 06:07:31,8.0129
04/16/2016 06:12:31,8.0092
04/16/2016 06:17:32,8.0063
04/16/2016 06:22:34,8.0045
04/16/2016 06:27:35,8.0001
04/16/2016 06:32:36,7.9975
04/16/2016 06:37:37,7.9928
04/16/2016 06:42:38,7.9912
04/16/2016 06:47:39,7.9878
04/16/2016 06:52:40,7.9849
04/16/2016 06:57:41,7.981
04/16/2016 07:02:42,7.9768
04/16/2016 07:07:43,7.9765
04/16/2016 07:12:44,7.9742
04/16/2016 07:17:45,7.9693
04/16/2016 07:22:46,7.9663
04/16/2016 07:27:47,7.9664
04/16/2016 07:32:48,7.9647
04/16/2016 07:37:49,7.9577
04/16/2016 07:42:50,7.9571
04/16/2016 07:47:51,7.9541
04/16/2016 07:52:52,7.952
04/16/2016 07:57:53,7.9502
04/16/2016 08:02:54,7.9496
04/16/2016 08:07:55,7.9424
04/16/2016 08:12:56,7.9415
04/16/2016 08:17:57,7.9394
04/16/2016 08:22:58,7.9375
04/16/2016 08:27:59,7.9332
04/16/2016 08:33:00,7.9294
04/16/2016 08:38:01,7.926
04/16/2016 08:43:02,7.9216
04/16/2016 08:48:03,7.9184
04/16/2016 08:53:04,7.9157
04/16/2016 08:58:05,7.9124
04/16/2016 09:03:06,7.9118
04/16/2016 09:08:07,7.9082
04/16/2016 09:13:08,7.9052
04/16/2016 09:18:31,7.9025
